ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
ITEM: ATOMS id x y z
569 67.9646 47.5864 13.684
570 1.72373 49.3902 15.2753
571 0.0100119 47.6493 16.9406
572 1.73636 49.2884 18.7066
573 67.9735 47.607 20.3599
574 1.71771 49.2014 22.0695
575 67.9984 47.5471 23.7112
576 1.62028 49.2665 25.5144
577 67.9633 47.5293 27.2725
578 1.70762 49.2619 28.9261
579 67.9716 47.5837 30.6356
580 1.62262 49.2927 32.2736
581 0.000319035 47.6117 34.0058
582 1.72493 49.2719 35.7446
583 67.9975 47.5706 37.4398
584 1.66414 49.2746 39.1362
585 0.0198863 47.6102 40.7975
586 1.7065 49.2787 42.523
587 67.9889 47.6448 44.2725
588 1.70685 49.3685 45.9421
589 67.9809 47.5517 47.5771
590 1.72126 49.3302 49.2737
591 0.0228381 47.585 51.0322
592 1.67877 49.3941 52.7378
593 67.9775 47.5848 54.3819
594 1.6674 49.4221 56.1345
595 67.9765 47.6191 57.7857
596 1.63791 49.4072 59.4209
597 67.9801 47.6019 61.172
598 1.59231 49.4418 62.9086
599 67.9888 47.7017 64.6367
600 1.67692 49.342 66.3338
601 67.9556 51.0228 67.987
602 1.71754 52.698 1.73587
603 0.0255711 50.9456 3.34952
604 1.79302 52.6747 5.00571
605 0.102143 51.0503 6.68473
606 1.72086 52.7498 8.47528
607 0.0039014 51.0472 10.1904
608 1.67352 52.7475 11.9509
609 67.918 50.9358 13.6639
610 1.73378 52.7401 15.2779
611 0.0355505 50.9568 16.9431
612 1.69748 52.7351 18.6422
613 0.0539506 50.9572 20.4167
614 1.716 52.7023 22.0894
615 0.022788 50.9759 23.731
616 1.71295 52.6477 25.5518
617 67.9622 50.9647 27.2746
618 1.69835 52.6451 28.905
619 0.023772 50.9939 30.6428
620 1.66553 52.6739 32.3996
621 67.9838 50.9804 34.0504
622 1.68567 52.6809 35.7085
623 67.9557 51.0331 37.3934
624 1.71531 52.7257 39.1351
625 0.0204652 51.057 40.8448
626 1.75639 52.7159 42.5283
627 67.9075 50.9983 44.197
628 1.68933 52.6224 45.9066
629 67.9869 50.994 47.5842
630 1.73773 52.6654 49.2947
631 0.0423298 51.0303 51.0232
632 1.6725 52.7452 52.7416
633 67.9932 51.0887 54.4402
634 1.64975 52.7484 56.0646
635 0.034849 51.0697 57.7315
636 1.61523 52.7335 59.4609
637 67.892 51.0756 61.2703
638 1.55784 52.7652 62.9466
639 67.9282 51.0078 64.6113
640 1.68995 52.7363 66.2643
641 67.9469 54.4132 67.9633
642 1.66183 56.1553 1.73284
643 67.9793 54.4511 3.44038
644 1.73758 56.1423 5.02796
645 67.9558 54.4145 6.73377
646 1.71695 56.0587 8.47015
647 0.000206744 54.4572 10.2331
648 1.71551 56.0691 11.8528
649 67.9403 54.5165 13.6435
650 1.78077 56.146 15.3491
651 0.0468167 54.5133 16.8647
652 1.71969 56.1211 18.6336
653 0.0864987 54.3602 20.3887
654 1.67507 56.1526 22.0978
655 0.0941398 54.4152 23.8141
656 1.68783 56.1725 25.5533
657 67.9826 54.4494 27.2411
658 1.70105 56.1422 28.9162
659 0.0100031 54.4028 30.6187
660 1.68706 56.0787 32.391
661 0.0751362 54.3967 34.1031
662 1.68757 56.0741 35.7588
